rank_num,collection_slug,created_date,num_owners,floor_price,total_volume,total_supply,thirty_day_volume,thirty_day_change
64,proof-collective,2021-12-08T16:15:41.074289,920,51.5,6267.937217884828896786,1000,1484.803000000000110958,-0.08562235195585786
65,fidenza-by-tyler-hobbs,2021-10-15T22:26:09.685969,513,51.5,44204.409834761936508585,999,1197.380000000000109139,1.4530895636443353
66,bored-ape-chemistry-club,2021-08-28T19:14:35.400797,802,34.5,46406.363533647476288024,3,4826.336699999997108534,1.0994597291598773
67,relics-pass,2022-03-25T04:09:29.072557,882,2.8,517.019399996599872793,1000,517.019399996599872793,0
68,veecon-tickets,2022-03-23T01:39:53.977149,5572,1.87,1540.595130382425850257,10245,1540.595130382425850257,0
69,raidparty,2022-01-31T13:20:00.646378,710,0.81,13993.424530095540831098,5334,3467.294134926517472195,-0.6706012556601193
70,dourdarcels,2022-03-04T04:38:37.671522,4932,0.54,9713.190919460494114901,10000,9713.190919460494114901,0
71,alienfrensnft,2021-12-18T06:46:31.634552,6754,1.89,22755.954752336565434234,10000,2268.703469105920703441,-0.36106678593668395
72,hapeprime,2022-01-19T14:38:04.983132,5533,1.299,51762.618091314892808441,8192,1969.945136573362788113,-0.9124239567444707
73,felinefiendznft,2022-03-05T01:53:03.980870,3994,0.158,1259.477021697351119656,7777,1259.477021697351119656,0
74,jpunks-og-rex,2022-03-24T09:21:04.166724,2761,0.24,543.517626053469143699,7777,543.517626053469143699,0
75,coolmans-universe,2021-12-17T23:15:45.785451,5673,1.18,22386.760945053571049357,10000,3534.05816936908149728,-0.4952613969761255
76,womenunite,2022-01-19T12:02:26.330308,727,1.78,1853.735707423899611967,224,970.196449889991185955,2.1796813289883983
77,okpc,2022-03-22T08:30:46.394969,3583,0.098,577.696131255678551497,8192,577.696131255678551497,0
78,karafuru,2022-02-04T10:16:34.732408,3673,2.1,37863.401795973979460541,5553,2293.622068229996784794,-0.9355176757971038
79,cyberkongz,2021-04-16T19:57:15.677123,2368,5.1,53340.376059146990883164,5000,1959.102844810000078724,-0.2704124564518871
80,g00p,2022-03-15T16:00:55.117523,3377,0.104,2217.312074764860426512,7999,2217.312074764860426512,0
81,project-godjira-gen-2,2022-03-08T16:45:32.420004,2098,2.399,2048.787685964969114139,3333,2048.787685964969114139,0
82,kpk-project,2022-03-29T09:40:53.107561,592,0.289,423.876809131101083494,1000,423.876809131101083494,0
83,coniun-pass,2022-03-09T21:50:34.809305,3703,0.6399,1547.481915928567559604,6303,1547.481915928567559604,0
84,guttercatgang,2021-06-08T19:31:45.216105,1796,8.28,21570.436059681142069167,3000,2289.045400000000427099,2.458597450963003
85,10ktf-gucci-grail,2022-03-16T22:35:29.432840,3060,0.9,1814.108405501462357279,4253,1814.108405501462357279,0
86,gutter-clones,2022-03-31T22:33:13.536853,1592,0.85,398.299406894339824703,2535,398.299406894339824703,0
87,crypto-unicorns-market,2021-11-16T02:36:28.095813,2073,1.4,7793.062855939941073302,10000,1146.46080000000392829,-0.4668096840661902
88,worldwidewebbland,2021-11-29T08:20:45.145208,4804,1.326,21389.818669057836814318,9508,1999.11384867700076029,-0.750773337407011
89,cryptoadz-by-gremplin,2021-09-08T20:07:14.086599,4003,2.89,64385.565289484431559686,7014,5036.124892687270403258,2.489862817391159
90,acrocalypse,2021-12-22T13:41:49.115824,3632,0.67,4937.744889151736060739,10419,2003.666411802377524509,-0.3089737719136855
91,fewocious,2020-10-31T01:35:32.572027,881,1.73,2540.863342759794250014,1705,439.127580000000079963,2.4676364910164965
92,llamaverse-genesis,2022-02-22T15:29:36.037454,283,3.67,3289.983342284862828819,4000,1972.288556097985519955,0.4967719207612127
93,hausphases,2022-01-17T22:01:46.289889,5163,0.796,9638.179380768913688371,7777,2139.52872946222214523,-0.6162787122340769
94,autoglyphs,2019-04-26T22:13:23.350126,152,177,18918.948715388578420971,512,499.000,1.0040160642570282
95,fluf-world,2021-08-05T20:23:36.545766,3734,2.8,32487.732890485152893234,10000,1254.233892502988965134,-0.4559870560804284
96,town-star,2020-07-07T04:21:17.383133,41319,0.006795,28899.287800980084284674,443,1321.410900422346003324,-0.5129026370629857
97,metahero-generative,2021-09-05T01:21:18.467704,255,4.8,14035.149837496921463753,6627,962.306280000000128894,-0.3117648141710614
98,white-sands-parcel-pass,2022-03-13T16:15:20.954032,2043,0.83,1594.490079713424165675,3000,1594.490079713424165675,0
99,project-arowana-prime,2022-03-25T07:43:54.267737,8,0.05,302.900000000000090949,1012,302.900000000000090949,0
